10/05/21 14:00:14	231422	0 12
10/05/21 14:00:15	231422	1 12
10/05/21 14:00:16	231422	2 12
10/05/21 14:00:17	231424	0 10
10/05/21 14:00:17	231422	3 12
10/05/21 14:00:18	231417	0 10
10/05/21 14:00:18	231422	4 12
10/05/21 14:00:19	231422	5 12
10/05/21 14:00:20	231422	6 12
10/05/21 14:00:21	231419	0 10
10/05/21 14:00:21	231424	1 10
10/05/21 14:00:21	231422	7 12
10/05/21 14:00:22	231422	8 12
10/05/21 14:00:23	231417	1 10
10/05/21 14:00:23	231422	9 12
10/05/21 14:00:24	231422	10 12
10/05/21 14:00:25	231424	2 10
10/05/21 14:00:25	231422	11 12
10/05/21 14:00:26	231423	0 6
10/05/21 14:00:28	231417	2 10
10/05/21 14:00:29	231419	1 10
10/05/21 14:00:29	231424	3 10
10/05/21 14:00:33	231417	3 10
10/05/21 14:00:33	231424	4 10
10/05/21 14:00:37	231419	2 10
10/05/21 14:00:37	231424	5 10
10/05/21 14:00:38	231417	4 10
10/05/21 14:00:39	231423	1 6
10/05/21 14:00:41	231424	6 10
10/05/21 14:00:43	231417	5 10
10/05/21 14:00:45	231419	3 10
10/05/21 14:00:45	231424	7 10
10/05/21 14:00:48	231417	6 10
10/05/21 14:00:49	231424	8 10
10/05/21 14:00:52	231423	2 6
10/05/21 14:00:53	231419	4 10
10/05/21 14:00:53	231417	7 10
10/05/21 14:00:53	231424	9 10
10/05/21 14:00:58	231417	8 10
10/05/21 14:01:01	231419	5 10
10/05/21 14:01:03	231417	9 10
10/05/21 14:01:05	231423	3 6
10/05/21 14:01:09	231419	6 10
10/05/21 14:01:17	231419	7 10
10/05/21 14:01:18	231423	4 6
10/05/21 14:01:25	231419	8 10
10/05/21 14:01:31	231423	5 6
10/05/21 14:01:33	231419	9 10
10/05/21 14:01:33	231414	runsim terminated
10/05/21 14:03:04	231565	0 12
10/05/21 14:03:05	231565	1 12
10/05/21 14:03:06	231565	2 12
10/05/21 14:03:07	231563	0 10
10/05/21 14:03:07	231565	3 12
10/05/21 14:03:08	231558	0 10
10/05/21 14:03:08	231565	4 12
10/05/21 14:03:09	231565	5 12
10/05/21 14:03:10	231565	6 12
10/05/21 14:03:11	231564	0 10
10/05/21 14:03:11	231563	1 10
10/05/21 14:03:11	231565	7 12
10/05/21 14:03:12	231565	8 12
10/05/21 14:03:13	231558	1 10
10/05/21 14:03:13	231565	9 12
10/05/21 14:03:14	231565	10 12
10/05/21 14:03:15	231563	2 10
10/05/21 14:03:15	231565	11 12
10/05/21 14:03:16	231562	0 6
10/05/21 14:03:18	231558	2 10
10/05/21 14:03:19	231564	1 10
10/05/21 14:03:19	231563	3 10
10/05/21 14:03:23	231558	3 10
10/05/21 14:03:23	231563	4 10
10/05/21 14:03:27	231564	2 10
10/05/21 14:03:27	231563	5 10
10/05/21 14:03:28	231558	4 10
10/05/21 14:03:29	231562	1 6
10/05/21 14:03:31	231563	6 10
10/05/21 14:03:33	231558	5 10
10/05/21 14:03:35	231564	3 10
10/05/21 14:03:35	231563	7 10
10/05/21 14:03:38	231558	6 10
10/05/21 14:03:39	231563	8 10
10/05/21 14:03:42	231562	2 6
10/05/21 14:03:43	231564	4 10
10/05/21 14:03:43	231558	7 10
10/05/21 14:03:43	231563	9 10
10/05/21 14:03:48	231558	8 10
10/05/21 14:03:51	231564	5 10
10/05/21 14:03:53	231558	9 10
10/05/21 14:03:55	231562	3 6
10/05/21 14:03:59	231564	6 10
10/05/21 14:04:07	231564	7 10
10/05/21 14:04:08	231562	4 6
10/05/21 14:04:15	231564	8 10
10/05/21 14:04:21	231562	5 6
10/05/21 14:04:23	231564	9 10
10/05/21 14:04:23	231555	runsim terminated
10/05/21 14:07:44	231711	0 12
10/05/21 14:07:45	231711	1 12
10/05/21 14:07:46	231711	2 12
10/05/21 14:07:47	231713	0 10
10/05/21 14:07:47	231711	3 12
10/05/21 14:07:48	231707	0 10
10/05/21 14:07:48	231711	4 12
10/05/21 14:07:49	231711	5 12
10/05/21 14:07:50	231711	6 12
10/05/21 14:07:51	231708	0 10
10/05/21 14:07:51	231713	1 10
10/05/21 14:07:51	231711	7 12
10/05/21 14:07:52	231711	8 12
10/05/21 14:07:53	231707	1 10
10/05/21 14:07:53	231711	9 12
10/05/21 14:07:54	231711	10 12
10/05/21 14:07:55	231713	2 10
10/05/21 14:07:55	231711	11 12
10/05/21 14:07:56	231712	0 6
10/05/21 14:07:58	231707	2 10
10/05/21 14:07:59	231708	1 10
10/05/21 14:07:59	231713	3 10
10/05/21 14:08:03	231707	3 10
10/05/21 14:08:03	231713	4 10
10/05/21 14:08:07	231708	2 10
10/05/21 14:08:07	231713	5 10
10/05/21 14:08:08	231707	4 10
10/05/21 14:08:09	231712	1 6
10/05/21 14:08:11	231713	6 10
10/05/21 14:08:13	231707	5 10
10/05/21 14:08:15	231708	3 10
10/05/21 14:08:15	231713	7 10
10/05/21 14:08:18	231707	6 10
10/05/21 14:08:19	231713	8 10
10/05/21 14:08:22	231712	2 6
10/05/21 14:08:23	231708	4 10
10/05/21 14:08:23	231707	7 10
10/05/21 14:08:23	231713	9 10
10/05/21 14:08:28	231707	8 10
10/05/21 14:08:31	231708	5 10
10/05/21 14:08:33	231707	9 10
10/05/21 14:08:35	231712	3 6
10/05/21 14:08:39	231708	6 10
10/05/21 14:08:47	231708	7 10
10/05/21 14:08:48	231712	4 6
10/05/21 14:08:55	231708	8 10
10/05/21 14:09:01	231712	5 6
10/05/21 14:09:03	231708	9 10
10/05/21 14:09:03	231703	runsim terminated
